marker_symbol	expected_positive_groups	prior_confidence	prior_action	prior_evidence
FCGR1A	Monocyte	0.95	vote	FCGR1A/CD64 is monocyte/macrophage-associated; remove GMP-L direct prior support.
FCGR2A	Monocyte	0.95	vote	FCGR2A/CD32A is mature myeloid/APC-associated; remove GMP-L direct prior support.
FCGR2B	B;Monocyte	0.95	vote	CD32B/FCGR2B is expressed on B and myeloid cells.
FCGR3A	Monocyte;NK/T	0.95	vote	CD16/FCGR3A is associated with monocytes and NK cells.
GPC2		0.95	no_vote	GPC2 is not a standard adult cHSPC lineage marker; require dataset-specific validation.
HAVCR2		0.95	no_vote	HAVCR2/TIM-3 is activation/exhaustion/myeloid-state associated; no strict lineage prior support.
HLAA		0.95	no_vote	HLA-A/MHC-I is broadly expressed on nucleated cells; no strict lineage prior support.
ICAM2	HSC_MPP	0.95	vote	ICAM2/CD102 supports primitive/progenitor context; do not extend to MEBEMP-L without co-marker evidence.
ICAM3		0.95	no_vote	ICAM3/CD50 is broadly leukocyte-associated; no strict lineage prior support.
ICOS	NK/T	0.95	vote	ICOS/CD278 is a T-cell activation marker.
IGSF8		0.95	no_vote	IGSF8/CD316 is broadly immune-associated; no strict lineage prior support.
IL2RA	CLP;NK/T	0.95	vote	CD25/IL2RA is lymphoid activation/progenitor-associated.
IL2RB	NK/T	0.95	vote	CD122/IL2RB is associated with NK/T cells.
IL2RG	CLP;NK/T	0.95	vote	Common gamma chain is lymphoid-associated.
IL3RA	CLP;GMP-L	0.95	vote	CD123/IL3RA marks pDC/myeloid progenitor states.
IL4R	B;Monocyte	0.95	vote	IL4R/CD124 is common on B and myeloid cells.
IL6R	B;Monocyte	0.95	vote	IL6R/CD126 is monocyte/B-associated.
IL6ST		0.95	no_vote	IL6ST/CD130 is a broad cytokine receptor component; no strict lineage prior support.
IL7R	CLP;NK/T	0.95	vote	CD127/IL7R marks lymphoid progenitors and T cells.
ITGA2		0.95	no_vote	ITGA2/CD49b has platelet/megakaryocyte and NK/T contexts; send to review without co-marker evidence.
ITGA4		0.95	no_vote	ITGA4/CD49d is broad across HSPC and immune cells; no strict lineage prior support.
ITGA6	HSC_MPP	0.95	vote	ITGA6/CD49f is a primitive human HSC-enrichment marker; do not directly assign prior support to MEBEMP-L.
ITGAL	Monocyte;NK/T	0.95	vote	CD11a/ITGAL is leukocyte adhesion-associated.
ITGAX	Monocyte	0.95	vote	ITGAX/CD11c supports monocyte/DC context; remove GMP-L direct prior support.
ITGB1		0.95	no_vote	ITGB1/CD29 is broadly expressed; no strict lineage prior support.
ITGB2		0.95	no_vote	ITGB2/CD18 is broad leukocyte-associated; no strict lineage prior support.
KIR2DL1	NK/T	0.95	vote	KIR2DL1/CD158a is NK-associated.
KIR2DL3	NK/T	0.95	vote	KIR2DL3/CD158b2 is NK-associated.
KIR3DL2	NK/T	0.95	vote	KIR3DL2/CD158k is NK-associated.
KIT	GMP-L;HSC_MPP;MEBEMP-L	0.95	vote	KIT/CD117 marks progenitor states broadly across HSPC subsets.
KLRB1	NK/T	0.95	vote	CD161/KLRB1 is NK/T-associated.
KLRK1	NK/T	0.95	vote	NKG2D/KLRK1 is NK/T-associated.
LAG3	NK/T	0.95	vote	LAG3/CD223 is a T/NK exhaustion/activation marker.
LAMP1		0.95	no_vote	LAMP1/CD107a marks degranulation/lysosomal activation; no strict lineage prior support.
LILRA5	Monocyte	0.95	vote	LILRA5/CD85f is mature myeloid-associated; remove GMP-L direct prior support.
LILRB1	Monocyte;NK/T	0.95	vote	LILRB1/CD85j is myeloid and NK-associated.
LILRB3	Monocyte	0.95	vote	LILRB3/CD85a is mature myeloid-associated; remove GMP-L direct prior support.
LRRC32	NK/T	0.95	vote	GARP/LRRC32 is associated with regulatory/activated T cells.
MCAM		0.95	no_vote	MCAM/CD146 is endothelial/stromal/perivascular-contextual; not a strict hematopoietic lineage marker.
MS4A1	B	0.95	vote	CD20/MS4A1 is a canonical B-cell marker.
NCAM1	NK/T	0.95	vote	CD56/NCAM1 is a canonical NK marker.
NCR1	NK/T	0.95	vote	CD335/NCR1 is an NK-cell marker.
NRP1		0.95	no_vote	NRP1/CD304 is pDC/endothelial/progenitor-contextual; do not assign prior support to Monocyte or HSC_MPP.
PDCD1	NK/T	0.95	vote	PD-1/PDCD1 is a T-cell marker.
PECAM1		0.95	no_vote	PECAM1/CD31 is endothelial/platelet/leukocyte/progenitor-broad; no strict lineage prior support.
PROM1	HSC_MPP	0.95	vote	CD133/PROM1 marks primitive progenitors.
PTPRCRA	B;CLP;GMP-L;NK/T	0.95	vote	CD45RA/PTPRC-RA is expected in lymphoid and some progenitor/myeloid populations.
PVR		0.95	no_vote	PVR/CD155 is immune activation/adhesion-associated; no strict lineage prior support.
SELL	B;CLP;NK/T	0.95	vote	SELL/CD62L supports lymphoid-primed and naive lymphoid contexts; remove HSC_MPP direct prior support.
SEMA4D	B;NK/T	0.95	vote	CD100/SEMA4D is lymphoid-associated.
SIGLEC15	Monocyte	0.95	vote	SIGLEC15 is myeloid-associated.
SIRPA	Monocyte	0.95	vote	SIRPA/CD172a supports monocyte/DC/myeloid context; remove GMP-L direct prior support.
SLAMF6	B;NK/T	0.95	vote	CD352/SLAMF6 is lymphoid-associated.
SLC3A2		0.95	no_vote	SLC3A2/CD98 marks activation/proliferation; no strict lineage prior support.
TEK		0.95	no_vote	TEK/Tie2 is endothelial/progenitor-contextual; not strict enough for HSC_MPP voting.
TFRC	ERYP	0.95	vote	TFRC/CD71 strongly supports erythroid identity in hematopoiesis; avoid broad MEBEMP-L voting unless combined with other ME markers.
TIGIT	NK/T	0.95	vote	TIGIT is a T/NK checkpoint marker.
TNFRSF17	B	0.95	vote	BCMA/TNFRSF17 is B-lineage/plasma-associated.
TNFRSF18	NK/T	0.95	vote	GITR/TNFRSF18 is T-cell-associated.
TNFRSF9	NK/T	0.95	vote	4-1BB/TNFRSF9 is T-cell activation-associated.
VSIR	Monocyte	0.95	vote	VISTA/VSIR is myeloid-associated.
