feature_id	feature_name	target_class	human_gene_symbol	validation_assay	validation_feature	group_by	group_levels	expected_positive_groups	prior_method	prior_confidence	prior_evidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	n_expected_groups	n_observed_adt_groups	n_observed_validation_groups	needs_llm_review	needs_manual_review	review_reason
mAOC0319	mAOC-CD79b	gene	CD79B	RNA	CD79B	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B	local_marker_prior	0.95	CD79B is a B-cell receptor component.	B;Monocyte;NK/T	B;CLP;NK/T	B;NK/T	B	B	1	3	3	FALSE	FALSE	
mAOC0321	mAOC-CD57	gene	B3GAT1	RNA	B3GAT1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD57/B3GAT1 is associated with differentiated NK/T cells.	GMP-L;MKP;Monocyte	HSC_MPP;MEBEMP-L				1	3	2	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0324	mAOC-CD49d	gene	ITGA4	RNA	ITGA4	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	ITGA4/CD49d is broad across HSPC and immune cells; no strict lineage prior support.	MKP;Monocyte;NK/T	ERYP;GMP-L;NK/T	NK/T			0	3	3	FALSE	FALSE	
mAOC0326	mAOC-CD5	gene	CD5	RNA	CD5	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;CLP;NK/T	llm_marker_prior	0.90	CD5 is T-lineage associated, can mark CLP/T-lineage tendency, and is also present on a B-cell subset.	B;CLP;NK/T	B;Monocyte;NK/T	B;NK/T	B;CLP;NK/T	B;NK/T	3	3	3	FALSE	FALSE	
mAOC0330	mAOC-CD49b	gene	ITGA2	RNA	ITGA2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	ITGA2/CD49b has platelet/megakaryocyte and NK/T contexts; send to review without co-marker evidence.	B;MKP;NK/T	HSC_MPP;MEBEMP-L;MKP	MKP			0	3	3	FALSE	FALSE	
mAOC0331	mAOC-CD226	gene	CD226	RNA	CD226	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte;NK/T	llm_marker_prior	0.85	CD226/DNAM-1 is expected on NK/T cells and can be present on monocyte/myeloid immune cells.	MKP;Monocyte;NK/T	MKP;Monocyte;NK/T	MKP;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	2	3	3	FALSE	FALSE	
mAOC0334	mAOC-CD96	gene	CD96	RNA	CD96	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	llm_marker_prior	0.85	CD96 is primarily a T/NK-associated immunoreceptor in this label set.	B;ERYP;MEBEMP-L	B;CLP;NK/T	B		NK/T	1	3	3	FALSE	TRUE	No observed ADT-high group overlaps LLM expected groups.
mAOC0336	mAOC-CD34	gene	CD34	RNA	CD34	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	HSC_MPP;MEBEMP-L	local_marker_prior	0.95	CD34 is a canonical HSPC marker.	CLP;HSC_MPP;MKP	CLP;HSC_MPP;MKP	CLP;HSC_MPP;MKP	HSC_MPP	HSC_MPP	2	3	3	FALSE	FALSE	
mAOC0339	mAOC-CD133	gene	PROM1	RNA	PROM1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	HSC_MPP	local_marker_prior	0.95	CD133/PROM1 marks primitive progenitors.	B;ERYP;GMP-L	CLP;GMP-L;HSC_MPP	GMP-L		HSC_MPP	1	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0341	mAOC-HLA-DRA	gene	HLA-DRA	RNA	HLA-DRA	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;Monocyte	llm_marker_prior	0.90	HLA-DRA/MHC-II is expected in antigen-presenting B and monocyte/APC-like compartments.	B;GMP-L	B;CLP;Monocyte	B	B	B;Monocyte	2	2	3	FALSE	FALSE	
mAOC0440	mAOC-CD70	gene	CD70	RNA	CD70	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;NK/T	local_marker_prior	0.95	CD70 is an activation marker in lymphoid cells.	ERYP;MEBEMP-L;MKP	ERYP;HSC_MPP;MEBEMP-L	ERYP;MEBEMP-L			2	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0442	mAOC-CD105	gene	ENG	RNA	ENG	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	ERYP;MEBEMP-L	local_marker_prior	0.95	ENG/CD105 is more consistent with erythroid/MEP-related progenitor context than strict HSC_MPP.	MKP;Monocyte;NK/T	CLP;HSC_MPP;Monocyte	Monocyte			2	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0444	mAOC-CD124	gene	IL4R	RNA	IL4R	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;Monocyte	local_marker_prior	0.95	IL4R/CD124 is common on B and myeloid cells.	B;Monocyte;NK/T	B;CLP;Monocyte	B;Monocyte	B;Monocyte	B;Monocyte	2	3	3	FALSE	FALSE	
mAOC0448	mAOC-CD155	gene	PVR	RNA	PVR	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	PVR/CD155 is immune activation/adhesion-associated; no strict lineage prior support.	MKP;Monocyte;NK/T	GMP-L;HSC_MPP;Monocyte	Monocyte			0	3	3	FALSE	FALSE	
mAOC0450	mAOC-CD40	gene	CD40	RNA	CD40	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;Monocyte	local_marker_prior	0.95	CD40 is expressed on B cells and antigen-presenting cells.	B;MKP;Monocyte	B;Monocyte;NK/T	B;Monocyte	B;Monocyte	B;Monocyte	2	3	3	FALSE	FALSE	
mAOC0451	mAOC-CD40	gene	CD40	RNA	CD40	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;Monocyte	local_marker_prior	0.95	CD40 is expressed on B cells and antigen-presenting cells.	B;MKP;Monocyte	B;Monocyte;NK/T	B;Monocyte	B;Monocyte	B;Monocyte	2	3	3	FALSE	FALSE	
mAOC0452	mAOC-CD154	gene	CD40LG	RNA	CD40LG	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD40LG/CD154 is a T-cell activation marker.	MKP;Monocyte;NK/T	ERYP;MEBEMP-L;MKP	MKP	NK/T		1	3	3	FALSE	TRUE	No observed validation-high group overlaps expected prior groups.
mAOC0453	mAOC-HLA-ABC	gene	HLA-A	RNA	HLA-A	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	HLA-A/MHC-I is broadly expressed on nucleated cells; no strict lineage prior support.	MKP;Monocyte;NK/T	B;Monocyte;NK/T	Monocyte;NK/T			0	3	3	FALSE	FALSE	
mAOC0454	mAOC-CD123	gene	IL3RA	RNA	IL3RA	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	CLP;GMP-L	local_marker_prior	0.95	CD123/IL3RA marks pDC/myeloid progenitor states.	CLP;GMP-L;HSC_MPP	CLP;GMP-L;HSC_MPP	CLP;GMP-L;HSC_MPP	CLP;GMP-L	CLP;GMP-L	2	3	3	FALSE	FALSE	
mAOC0455	mAOC-CD49f	gene	ITGA6	RNA	ITGA6	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	HSC_MPP	local_marker_prior	0.95	ITGA6/CD49f is a primitive human HSC-enrichment marker; do not directly assign prior support to MEBEMP-L.	MEBEMP-L;MKP;Monocyte	HSC_MPP;MEBEMP-L;MKP	MEBEMP-L;MKP		HSC_MPP	1	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0459	mAOC-CD183	gene	CXCR3	RNA	CXCR3	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CXCR3/CD183 is commonly enriched in activated T/NK cells.	B;Monocyte;NK/T	CLP;MEBEMP-L;NK/T	NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
mAOC0460	mAOC-CD195	gene	CCR5	RNA	CCR5	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte;NK/T	local_marker_prior	0.95	CCR5 is commonly seen in T/NK and myeloid immune subsets.	MKP;Monocyte;NK/T	CLP;MKP;Monocyte	MKP;Monocyte	Monocyte;NK/T	Monocyte	2	3	3	FALSE	FALSE	
mAOC0461	mAOC-CD185	gene	CXCR5	RNA	CXCR5	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;NK/T	local_marker_prior	0.95	CXCR5 supports B-cell and follicular helper T-like contexts; remove CLP direct prior support.	B;MKP;NK/T	B;CLP;MKP	B;MKP	B;NK/T	B	2	3	3	FALSE	FALSE	
mAOC0464	mAOC-CD141	gene	THBD	RNA	THBD	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	llm_marker_prior	0.82	THBD/CD141 is DC/monocyte-associated; with no DC label, Monocyte is the closest current category.	MKP;Monocyte;NK/T	CLP;GMP-L;Monocyte	Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0465	mAOC-CD58	gene	CD58	RNA	CD58	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	CD58 is broadly immune-associated; no strict lineage prior support.	GMP-L;MKP;NK/T	B;CLP;Monocyte				0	3	3	FALSE	FALSE	
mAOC0467	mAOC-CD24	gene	CD24	RNA	CD24	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;CLP	local_marker_prior	0.95	CD24 is common on B/lymphoid progenitor populations.	B;MKP;NK/T	B;MKP;NK/T	B;MKP;NK/T	B	B	2	3	3	FALSE	FALSE	
mAOC0470	mAOC-CD192	gene	CCR2	RNA	CCR2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	CCR2 is a monocyte chemokine receptor.	B;GMP-L;NK/T	CLP;GMP-L;Monocyte	GMP-L		Monocyte	1	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0472	mAOC-CD163	gene	CD163	RNA	CD163	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	llm_marker_prior	0.95	CD163 is a monocyte/macrophage lineage-associated marker.	B;GMP-L;Monocyte	CLP;HSC_MPP;Monocyte	Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0473	mAOC-CD163	gene	CD163	RNA	CD163	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	llm_marker_prior	0.95	CD163 is a monocyte/macrophage lineage-associated marker.	B;GMP-L;Monocyte	CLP;HSC_MPP;Monocyte	Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0474	mAOC-CD303	gene	CLEC4C	RNA	CLEC4C	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	CLEC4C/CD303 is a pDC marker; current label set lacks pDC, so no lineage prior support.	ERYP;GMP-L;MKP	B;CLP;ERYP	ERYP			0	3	3	FALSE	FALSE	
mAOC0476	mAOC-CD127	gene	IL7R	RNA	IL7R	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	CLP;NK/T	local_marker_prior	0.95	CD127/IL7R marks lymphoid progenitors and T cells.	MKP;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	NK/T	CLP;NK/T	2	3	3	FALSE	FALSE	
mAOC0478	mAOC-CD93	gene	CD93	RNA	CD93	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	HSC_MPP;Monocyte	local_marker_prior	0.95	CD93 has progenitor/myeloid/endothelial contexts; remove MKP direct prior support.	MKP;Monocyte;NK/T	CLP;GMP-L;Monocyte	Monocyte	Monocyte	Monocyte	2	3	3	FALSE	FALSE	
mAOC0479	mAOC-CD23	gene	FCER2	RNA	FCER2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B	local_marker_prior	0.95	CD23/FCER2 is a B-cell marker.	ERYP;MKP;NK/T	B;GMP-L;Monocyte			B	1	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0481	mAOC-CD71	gene	TFRC	RNA	TFRC	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	ERYP	local_marker_prior	0.95	TFRC/CD71 strongly supports erythroid identity in hematopoiesis; avoid broad MEBEMP-L voting unless combined with other ME markers.	ERYP;MKP;NK/T	ERYP;GMP-L;MEBEMP-L	ERYP	ERYP	ERYP	1	3	3	FALSE	FALSE	
mAOC0482	mAOC-CD7	gene	CD7	RNA	CD7	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	CLP;NK/T	local_marker_prior	0.95	CD7 is associated with T/NK and lymphoid progenitors.	B;MKP;NK/T	CLP;ERYP;NK/T	NK/T	NK/T	CLP;NK/T	2	3	3	FALSE	FALSE	
mAOC0485	mAOC-CD25	gene	IL2RA	RNA	IL2RA	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	CLP;NK/T	local_marker_prior	0.95	CD25/IL2RA is lymphoid activation/progenitor-associated.	MEBEMP-L;MKP;Monocyte	GMP-L;HSC_MPP;MEBEMP-L	MEBEMP-L			2	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0486	mAOC-CD2	gene	CD2	RNA	CD2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD2 is a canonical T/NK marker.	B;MKP;NK/T	CLP;ERYP;NK/T	NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
mAOC0488	mAOC-CD62L	gene	SELL	RNA	SELL	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;CLP;NK/T	local_marker_prior	0.95	SELL/CD62L supports lymphoid-primed and naive lymphoid contexts; remove HSC_MPP direct prior support.	MKP;Monocyte;NK/T	CLP;HSC_MPP;NK/T	NK/T	NK/T	CLP;NK/T	3	3	3	FALSE	FALSE	
mAOC0490	mAOC-CD158a	gene	KIR2DL1	RNA	KIR2DL1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	KIR2DL1/CD158a is NK-associated.	GMP-L;Monocyte;NK/T	GMP-L	GMP-L	NK/T		1	3	1	FALSE	TRUE	No observed validation-high group overlaps expected prior groups.
mAOC0492	mAOC-CD115	gene	CSF1R	RNA	CSF1R	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte	local_marker_prior	0.95	CSF1R/CD115 marks monocyte/macrophage lineage.	MKP;Monocyte;NK/T	CLP;GMP-L;Monocyte	Monocyte	Monocyte	Monocyte	1	3	3	FALSE	FALSE	
mAOC0496	mAOC-CD272	gene	BTLA	RNA	BTLA	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;CLP;NK/T	llm_marker_prior	0.85	BTLA/CD272 is mainly lymphoid-associated and can be expected on B and T/NK-lineage contexts.	MKP;Monocyte;NK/T	B;Monocyte;NK/T	Monocyte;NK/T	NK/T	B;NK/T	3	3	3	FALSE	FALSE	
mAOC0500	mAOC-CD16a	gene	FCGR3A	RNA	FCGR3A	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte;NK/T	local_marker_prior	0.95	CD16/FCGR3A is associated with monocytes and NK cells.	GMP-L;MKP;Monocyte	MEBEMP-L;Monocyte;NK/T	Monocyte	Monocyte	Monocyte;NK/T	2	3	3	FALSE	FALSE	
